#Pa_CSFR_z0.02_f1
#age = 10 Myrs
#1221
#wave, log(total), log(stellar), log(nebular), log(total+elines) [ergs/sec/Hz]
   1295.00  17.48807  17.47876  15.81465  17.48829
   1305.00  17.49388  17.48401  15.84547  17.49457
   1315.00  17.52766  17.51788  15.87496  17.52916
   1325.00  17.51563  17.50543  15.88154  17.51822
   1335.00  17.50532  17.49443  15.89907  17.50848
   1345.00  17.52011  17.50889  15.92674  17.52268
   1355.00  17.51361  17.50205  15.93317  17.51516
   1365.00  17.49793  17.48516  15.95977  17.49861
   1375.00  17.49253  17.47941  15.96611  17.49273
   1385.00  17.48911  17.47538  15.98216  17.48915
   1395.00  17.36316  17.34401  15.99795  17.36317
   1405.00  17.33624  17.31554  16.00416  17.33624
   1415.00  17.47895  17.46394  16.01032  17.47895
   1425.00  17.45898  17.44302  16.01643  17.45898
   1435.00  17.48367  17.46838  16.02251  17.48367
   1442.00  17.48416  17.46874  16.02674  17.48416
   1447.00  17.48359  17.46804  16.02974  17.48359
   1455.00  17.47225  17.45646  16.02499  17.47225
   1465.00  17.46144  17.44502  16.03093  17.46144
   1475.00  17.46874  17.45237  16.03684  17.46874
   1485.00  17.47408  17.45769  16.04271  17.47408
   1495.00  17.46850  17.45128  16.05809  17.46850
   1505.00  17.45711  17.43958  16.05433  17.45711
   1512.00  17.43700  17.41845  16.05836  17.43700
   1517.00  17.44505  17.42672  16.06123  17.44505
   1525.00  17.44444  17.42589  16.06580  17.44444
   1535.00  17.39245  17.37169  16.06172  17.39245
   1545.00  17.32296  17.29815  16.06736  17.32296
   1555.00  17.33622  17.31243  16.06298  17.33622
   1565.00  17.39692  17.37604  16.06854  17.39692
   1575.00  17.42356  17.40369  16.07408  17.42356
   1585.00  17.43027  17.41093  16.06935  17.43027
   1595.00  17.43221  17.41318  16.06435  17.43221
   1605.00  17.42182  17.40158  16.08025  17.42182
   1615.00  17.41460  17.39426  16.07518  17.41461
   1625.00  17.41880  17.39840  16.08054  17.41884
   1635.00  17.43336  17.41390  16.07514  17.43348
   1645.00  17.43334  17.41414  16.06944  17.43361
   1655.00  17.43818  17.41895  16.07471  17.43860
   1665.00  17.44225  17.42297  16.07994  17.44271
   1672.00  17.41773  17.39713  16.08358  17.41815
   1677.00  17.46597  17.44795  16.07490  17.46628
   1685.00  17.45638  17.43827  16.06745  17.45657
   1695.00  17.44495  17.42560  16.08417  17.44503
   1705.00  17.44100  17.42177  16.07770  17.44102
   1715.00  17.42563  17.40544  16.08278  17.42563
   1725.00  17.41983  17.39970  16.07593  17.41983
   1735.00  17.43872  17.41979  16.06871  17.43872
   1745.00  17.43587  17.41658  16.07371  17.43587
   1755.00  17.43872  17.41991  16.06608  17.43872
   1765.00  17.43479  17.41558  16.07102  17.43479
   1775.00  17.42365  17.40370  16.07592  17.42365
   1785.00  17.43333  17.41360  16.08080  17.43333
   1795.00  17.43562  17.41637  16.07269  17.43562
   1805.00  17.43976  17.42048  16.07752  17.43976
   1815.00  17.41950  17.39905  16.08231  17.41950
   1825.00  17.42591  17.40616  16.07372  17.42591
   1835.00  17.42409  17.40404  16.07847  17.42409
   1845.00  17.40405  17.38347  16.06940  17.40407
   1855.00  17.40894  17.38769  16.08788  17.40906
   1865.00  17.41458  17.39406  16.07877  17.41520
   1875.00  17.42155  17.40181  16.06917  17.42374
   1885.00  17.39807  17.37627  16.08803  17.40394
   1895.00  17.38759  17.36499  16.09263  17.39835
   1905.00  17.40868  17.38766  16.08296  17.42171
   1915.00  17.39543  17.37426  16.07278  17.40755
   1925.00  17.37894  17.35669  16.07731  17.38701
   1935.00  17.40274  17.38149  16.08181  17.40620
   1945.00  17.41042  17.38933  16.08628  17.41151
   1955.00  17.38008  17.35799  16.07550  17.38034
   1967.00  17.40546  17.38440  16.08081  17.40549
   1976.00  17.41664  17.39593  16.08478  17.41664
   1984.00  17.40223  17.38062  16.08829  17.40223
   1995.00  17.39675  17.37461  16.09309  17.39675
   2005.00  17.40843  17.38667  16.09743  17.40843
   2015.00  17.40703  17.38578  16.08596  17.40703
   2025.00  17.41477  17.39370  16.09026  17.41477
   2035.00  17.39533  17.37389  16.07815  17.39533
   2045.00  17.39886  17.37738  16.08241  17.39886
   2055.00  17.33772  17.31265  16.08664  17.33772
   2065.00  17.36891  17.34539  16.09086  17.36891
   2074.00  17.41350  17.39215  16.09464  17.41350
   2078.00  17.39095  17.36833  16.09631  17.39095
   2085.00  17.40143  17.37922  16.09923  17.40144
   2095.00  17.38773  17.36456  16.10339  17.38776
   2105.00  17.39576  17.37370  16.09049  17.39589
   2115.00  17.40193  17.37999  16.09461  17.40231
   2125.00  17.40216  17.38001  16.09870  17.40294
   2135.00  17.39945  17.37694  16.10278  17.40059
   2145.00  17.39041  17.36815  16.08911  17.39162
   2155.00  17.40092  17.37899  16.09315  17.40178
   2165.00  17.39439  17.37095  16.11490  17.39484
   2175.00  17.39729  17.37476  16.10118  17.39746
   2185.00  17.38959  17.36642  16.10516  17.38963
   2195.00  17.39805  17.37512  16.10913  17.39806
   2205.00  17.39609  17.37384  16.09459  17.39609
   2215.00  17.38885  17.36498  16.11701  17.38885
   2225.00  17.38691  17.36271  16.12092  17.38691
   2235.00  17.38697  17.36255  16.12481  17.38697
   2245.00  17.38667  17.36200  16.12869  17.38667
   2255.00  17.37868  17.35440  16.11407  17.37869
   2265.00  17.38437  17.36019  16.11791  17.38442
   2275.00  17.38419  17.35978  16.12174  17.38455
   2285.00  17.38239  17.35766  16.12555  17.38418
   2295.00  17.36333  17.33722  16.12934  17.36980
   2305.00  17.37301  17.34727  16.13312  17.38841
   2315.00  17.36921  17.34300  16.13688  17.39589
   2325.00  17.33772  17.30922  16.14062  17.37268
   2335.00  17.36252  17.33663  16.12504  17.39147
   2345.00  17.36417  17.33693  16.14806  17.38217
   2355.00  17.36371  17.33743  16.13245  17.37165
   2365.00  17.36003  17.33329  16.13613  17.36252
   2375.00  17.35656  17.32809  16.15910  17.35711
   2385.00  17.34744  17.31941  16.14345  17.34753
   2395.00  17.35329  17.32540  16.14708  17.35330
   2405.00  17.35098  17.32269  16.15070  17.35098
   2415.00  17.35121  17.32269  16.15430  17.35121
   2425.00  17.35367  17.32508  16.15789  17.35367
   2435.00  17.34770  17.31846  16.16147  17.34770
   2445.00  17.35049  17.32119  16.16503  17.35049
   2455.00  17.34938  17.31975  16.16857  17.34938
   2465.00  17.34701  17.31696  16.17210  17.34701
   2475.00  17.34414  17.31364  16.17562  17.34414
   2485.00  17.33995  17.30887  16.17912  17.33995
   2495.00  17.26811  17.23125  16.17864  17.26811
   2505.00  17.33362  17.30154  16.18609  17.33362
   2513.00  17.31813  17.28494  16.18489  17.31813
   2518.00  17.33303  17.30117  16.18261  17.33303
   2525.00  17.33416  17.30251  16.18098  17.33416
   2535.00  17.33502  17.30286  16.18846  17.33502
   2545.00  17.32948  17.29663  16.19188  17.32948
   2555.00  17.33240  17.29936  16.19729  17.33240
   2565.00  17.33115  17.29790  16.19868  17.33115
   2575.00  17.33279  17.29940  16.20206  17.33279
   2585.00  17.33104  17.29724  16.20542  17.33104
   2595.00  17.32798  17.29381  16.20676  17.32798
   2605.00  17.32625  17.29284  16.19573  17.32625
   2615.00  17.32265  17.28869  16.19905  17.32265
   2625.00  17.32389  17.28975  16.20237  17.32389
   2635.00  17.32410  17.28971  16.20567  17.32410
   2645.00  17.32486  17.29009  16.21104  17.32486
   2655.00  17.32482  17.28976  16.21432  17.32482
   2665.00  17.31677  17.28075  16.21759  17.31677
   2675.00  17.31664  17.28033  16.22084  17.31664
   2685.00  17.31878  17.28237  16.22408  17.31878
   2695.00  17.31186  17.27437  16.22938  17.31186
   2705.00  17.31142  17.27360  16.23260  17.31142
   2715.00  17.30994  17.27169  16.23581  17.30994
   2725.00  17.31036  17.27185  16.23900  17.31036
   2735.00  17.30701  17.26770  16.24424  17.30702
   2745.00  17.30540  17.26563  16.24741  17.30551
   2755.00  17.30520  17.26511  16.25057  17.30577
   2765.00  17.30430  17.26361  16.25577  17.30641
   2775.00  17.30798  17.26715  16.26095  17.31348
   2785.00  17.30469  17.26342  16.26203  17.31497
   2795.00  17.29290  17.24970  16.26922  17.30677
   2805.00  17.29882  17.25591  16.27233  17.31161
   2815.00  17.30340  17.26064  16.27542  17.31180
   2825.00  17.30160  17.25833  16.27850  17.30556
   2835.00  17.29444  17.24988  16.28359  17.29577
   2845.00  17.29709  17.25248  16.28665  17.29740
   2855.00  17.29502  17.24985  16.28970  17.29507
   2865.00  17.29626  17.25066  16.29475  17.29627
   2875.00  17.29469  17.24859  16.29778  17.29469
   2885.00  17.29417  17.24767  16.30079  17.29417
   2895.00  17.29218  17.24489  16.30580  17.29218
   2910.00  17.29106  17.24288  16.31229  17.29106
   2930.00  17.29018  17.24095  16.32023  17.29018
   2950.00  17.28570  17.23496  16.32811  17.28570
   2970.00  17.28492  17.23311  16.33595  17.28492
   2990.00  17.28178  17.22881  16.34178  17.28178
   3010.00  17.27764  17.22311  16.34953  17.27764
   3030.00  17.27760  17.22176  16.35918  17.27760
   3050.00  17.27724  17.22028  16.36683  17.27724
   3070.00  17.27596  17.21774  16.37443  17.27596
   3090.00  17.27195  17.21204  16.38199  17.27195
   3110.00  17.27257  17.21164  16.38950  17.27257
   3130.00  17.26883  17.20649  16.39507  17.26883
   3150.00  17.26883  17.20532  16.40250  17.26883
   3170.00  17.26597  17.20052  16.41178  17.26597
   3190.00  17.26322  17.19580  16.42098  17.26322
   3210.00  17.26168  17.19276  16.42827  17.26168
   3230.00  17.26124  17.19065  16.43736  17.26124
   3250.00  17.26126  17.18973  16.44273  17.26126
   3270.00  17.25821  17.18448  16.45172  17.25821
   3290.00  17.25766  17.18250  16.45884  17.25766
   3310.00  17.25664  17.17958  16.46772  17.25664
   3330.00  17.25451  17.17565  16.47475  17.25451
   3350.00  17.25205  17.17128  16.48174  17.25205
   3370.00  17.25136  17.16864  16.49047  17.25136
   3390.00  17.25139  17.16684  16.49914  17.25139
   3410.00  17.25058  17.16437  16.50601  17.25058
   3430.00  17.24221  17.15894  16.48399  17.24221
   3450.00  17.24078  17.15571  16.49090  17.24078
   3470.00  17.24142  17.15499  16.49777  17.24142
   3490.00  17.24047  17.15189  16.50645  17.24047
   3510.00  17.24043  17.15030  16.51324  17.24043
   3530.00  17.23979  17.14793  16.51999  17.23979
   3550.00  17.23926  17.14524  16.52852  17.23926
   3570.00  17.23799  17.14203  16.53520  17.23799
   3590.00  17.23520  17.13688  16.54184  17.23520
   3610.00  17.23456  17.13391  16.55023  17.23456
   3630.00  17.23471  17.13238  16.55680  17.23472
   3640.00  17.23387  17.13019  16.56095  17.23393
   3650.00  17.15628  17.13182  15.89491  17.15669
   3670.00  17.15260  17.12812  15.89138  17.16252
   3690.00  17.14408  17.12032  15.87030  17.28263
   3710.00  17.15173  17.12814  15.87499  17.65521
   3730.00  17.14932  17.12583  15.87071  17.80588
   3750.00  17.17489  17.15253  15.87535  17.55613
   3770.00  17.17485  17.15225  15.87997  17.26022
   3790.00  17.19086  17.16933  15.87542  17.22548
   3810.00  17.20863  17.18776  15.87999  17.23874
   3830.00  17.17043  17.14785  15.87520  17.21866
   3850.00  17.21379  17.19364  15.87018  17.30521
   3870.00  17.21433  17.19400  15.87468  17.35825
   3890.00  17.16065  17.13732  15.87916  17.27468
   3910.00  17.21592  17.19523  15.88361  17.24577
   3930.00  17.20065  17.17946  15.87828  17.20870
   3950.00  17.20576  17.18510  15.87271  17.24419
   3970.00  17.13988  17.11549  15.87710  17.22434
   3990.00  17.20584  17.18526  15.87124  17.24419
   4010.00  17.20946  17.18835  15.88580  17.21446
   4030.00  17.20213  17.18094  15.87991  17.20375
   4050.00  17.20628  17.18508  15.88421  17.21901
   4070.00  17.19674  17.17538  15.87802  17.24423
   4090.00  17.18278  17.16047  15.88228  17.29731
   4110.00  17.14775  17.12327  15.88651  17.26904
   4130.00  17.19012  17.16831  15.88001  17.22260
   4150.00  17.19239  17.16993  15.89493  17.19464
   4170.00  17.19174  17.16958  15.88838  17.19178
   4190.00  17.19084  17.16842  15.89254  17.19084
   4210.00  17.18920  17.16706  15.88568  17.18920
   4230.00  17.18663  17.16413  15.88979  17.18663
   4250.00  17.18341  17.16052  15.89389  17.18341
   4270.00  17.17690  17.15343  15.89797  17.17696
